2024-05-23 12:52:09.835 [info] Experiment 'pythonCreateEnvOnPipInstallcf' is active
2024-05-23 12:52:09.835 [info] Experiment 'pythonRecommendTensorboardExt' is active
2024-05-23 12:52:09.835 [info] Experiment 'pythonSurveyNotification' is active
2024-05-23 12:52:09.835 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2024-05-23 12:52:09.835 [info] Experiment 'pythonTestAdapter' is active
2024-05-23 12:52:09.835 [info] Default formatter is set to null for workspace /home/eric
2024-05-23 12:52:09.835 [info] Python interpreter path: ./miniconda3/bin/python
2024-05-23 12:52:09.864 [info] > pyenv which python
2024-05-23 12:52:09.864 [info] cwd: .
2024-05-23 12:52:09.890 [info] > conda info --json
2024-05-23 12:52:09.890 [info] shell: bash
2024-05-23 12:52:10.166 [info] > conda run -n base --no-capture-output python ./.vscode-server/extensions/ms-python.python-2024.6.0/python_files/get_output_via_markers.py ./.vscode-server/extensions/ms-python.python-2024.6.0/python_files/printEnvVariables.py
2024-05-23 12:52:10.166 [info] shell: bash
2024-05-23 12:52:10.433 [info] > /usr/bin/python3 ./.vscode-server/extensions/ms-python.python-2024.6.0/python_files/printEnvVariables.py
2024-05-23 12:52:10.433 [info] shell: bash
2024-05-23 12:52:10.444 [info] Setting environment variable CONDA_ROOT in collection to /home/eric/miniconda3 {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2024-05-23 12:52:10.445 [info] Send text to terminal: /usr/bin/python3 /home/eric/.vscode-server/extensions/ms-python.python-2024.6.0/python_files/printEnvVariablesToFile.py /home/eric/.vscode-server/extensions/ms-python.python-2024.6.0/python_files/deactivate/bash/envVars.txt
2024-05-23 12:52:10.639 [info] Starting Pylance language server.
2024-05-23 12:52:15.678 [info] > conda info --json
2024-05-23 12:53:50.843 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:54:55.014 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:55:02.983 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:55:07.297 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:57:24.853 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:03.207 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:07.387 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:17.232 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:23.385 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:27.954 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:33.898 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 12:58:45.327 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:11:04.549 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:12:48.000 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:13:05.096 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:13:10.071 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:13:12.463 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:13:15.654 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:13:53.004 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:14:01.927 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:14:07.766 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:14:12.351 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:14:17.089 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:18:25.328 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:18:53.880 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:15.219 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:16.792 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:21.636 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:25.662 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:28.084 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:33.542 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:36.948 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:19:38.298 [info] Discover tests for workspace name: eric - uri: /home/eric/country_dist_cal.py
2024-05-23 13:20:05.862 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:20:08.713 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:20:13.510 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:20:14.658 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:20:40.317 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:20:54.514 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:20:55.924 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:21:49.973 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:22:07.550 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:22:14.292 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:22:16.045 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:17.200 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:23.111 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:24.522 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:45.305 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:47.828 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:49.791 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:52.317 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:54.424 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:57.483 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:23:59.049 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:16.384 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:17.994 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:20.024 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:21.163 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:31.958 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:34.775 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:24:38.310 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:25:11.427 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:25:18.208 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:25:31.696 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:26:16.112 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:26:17.303 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:26:52.431 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:27:18.598 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:27:21.888 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:27:25.004 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:27:27.795 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:27:34.754 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:28:40.819 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:28:44.706 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:28:48.750 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:28:52.479 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:28:53.910 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:31:09.784 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:31:11.697 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:31:30.083 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:31:45.211 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:31:53.114 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:06.194 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:12.503 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:15.075 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:21.388 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:25.795 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:42.095 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:32:46.911 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:33:00.225 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:33:02.956 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:33:13.825 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:33:29.010 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:33:46.990 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:34:33.542 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:34:39.780 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:34:41.604 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:34:46.175 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:35:07.104 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:35:14.537 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:35:20.150 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:37:57.983 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:38:54.330 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:38:56.766 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:38:58.793 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:39:30.272 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:39:34.431 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:40:34.367 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:40:49.529 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:41:32.062 [info] Discover tests for workspace name: eric - uri: /home/eric/test.py
2024-05-23 13:43:51.525 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:44:48.131 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:44:51.921 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:44:56.164 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:03.990 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:12.908 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:17.116 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:19.631 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:23.087 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:28.010 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:30.071 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:36.514 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:37.920 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:40.048 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:45:56.291 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:01.707 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:04.707 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:05.892 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:09.506 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:13.679 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:21.083 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:24.222 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:46:29.871 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:13.613 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:17.469 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:19.629 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:26.300 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:30.383 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:36.983 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:43.407 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:49.219 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:55.289 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:57.113 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:48:59.884 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:02.846 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:08.214 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:09.304 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:12.285 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:13.813 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:16.996 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:21.157 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:23.815 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 13:49:29.267 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
